index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
48,50,2021-01-21,Pump,VALENTINO KHAN,USZ4V1700087,,16090524.0,268,"['2017-05-26T00:00:00.000Z', '2017-06-02T00:00:00.000Z']",46206,2601175.0,2595526.0,-5649.0,-0.21717108614376196,277529.0,277077.0,111173.0,111100.0,32100.0,32300.0,Has Tiktok
49,52,2021-01-21,Run free,Deep Chills,NLYK91700007,,13646389.0,172,['2017-08-18T00:00:00.000Z'],71652,778242.0,775938.0,-2304.0,-0.2960518707548552,43320.0,43200.0,2029.0,2030.0,16900.0,17100.0,Has Tiktok
50,53,2021-01-21,Can We Kiss Forever?,kinabeats,QMPKX1823521,,20497349.0,107,['2018-08-31T00:00:00.000Z'],902878,9349759.0,9373125.0,23366.0,0.24991018485075392,144921.0,145209.0,3594.0,3623.0,124000.0,125800.0,Has Tiktok
51,54,2021-01-21,You Got It,Vedo,USUYG1299206,-1.85714285714286,28672165.0,156,"['2020-03-06T00:00:00.000Z', '2020-03-27T00:00:00.000Z']",195150,6308227.0,6319721.0,11494.0,0.1822065058850926,437774.0,438534.0,82544.0,82634.0,,,No Tiktok
52,56,2021-01-21,She Share Story (for Vlog),夕依,QZHN52089091,,29745716.0,210,['2020-06-02T00:00:00.000Z'],866374,1393539.0,1406346.0,12807.0,0.9190270240014811,8498.0,8533.0,10971.0,10977.0,,,No Tiktok
53,57,2021-01-21,"The Banjo Beat, Pt. 1",Ricky Desktop,QZK6L2004258,,31136030.0,74,['2020-08-21T00:00:00.000Z'],3667592,1822590.0,1823785.0,1195.0,0.0655660351477842,8521.0,8516.0,63.0,63.0,849500.0,850800.0,Has Tiktok
54,58,2021-01-21,Jedag Jedug,Dony     ??,FRZ041800793,-4.85714285714286,20438195.0,32,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,12872109.0,12985344.0,113235.0,0.8796926750697962,2704208.0,2711238.0,1037000.0,1042067.0,1200000.0,1200000.0,Has Tiktok
55,59,2021-01-21,Classical Music,Classical Music,TCAAU1178628,-5.28571428571429,20877140.0,254,['2011-02-03T00:00:00.000Z'],141006,2505.0,2505.0,0.0,0.0,,,,,,,No Tiktok
56,60,2021-01-21,Surrender,Natalie Taylor,TCACJ1544888,,14341447.0,218,['2015-10-29T00:00:00.000Z'],164355,6585459.0,5944452.0,-641007.0,-9.733672322612593,40874.0,41071.0,16612.0,16600.0,253200.0,254000.0,Has Tiktok
57,61,2021-01-21,It's Tricky,RUN DMC,USAR18600005,1.7142857142857097,15051716.0,239,"['2010-04-30T00:00:00.000Z', '2002-09-10T00:00:00.000Z', '2012-10-30T00:00:00.000Z', '1999-12-31T00:00:00.000Z', '2009-03-26T00:00:00.000Z', '2011-04-08T00:00:00.000Z', '2015-01-09T00:00:00.000Z', '2011-07-01T00:00:00.000Z', '2013-06-21T00:00:00.000Z', '2010-10-22T00:00:00.000Z', '2003-10-28T00:00:00.000Z', '2011-06-03T00:00:00.000Z', '2007-05-05T00:00:00.000Z', '2013-07-12T00:00:00.000Z', '2013-12-13T00:00:00.000Z', '2012-10-30T00:00:00.000Z', '1984-01-01T00:00:00.000Z', '1984-01-01T00:00:00.000Z', '1990-01-01T00:00:00.000Z', '2013-01-01T00:00:00.000Z', '2015-03-20T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '1986-05-15T00:00:00.000Z', '2002-08-19T00:00:00.000Z', '1986-05-15T00:00:00.000Z', '2015-07-10T00:00:00.000Z', '1986-05-15T00:00:00.000Z', '2006-04-28T00:00:00.000Z', '2009-12-25T00:00:00.000Z', '2008-08-04T00:00:00.000Z', '2009-12-28T00:00:00.000Z', '2013-07-23T00:00:00.000Z', '2002-09-10T00:00:00.000Z', '1986-05-15T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2019-01-18T00:00:00.000Z', '2012-10-30T00:00:00.000Z', '2002-09-10T00:00:00.000Z']",206566,6939997.0,6438339.0,-501658.0,-7.228504565635979,46987.0,47226.0,46818.0,46832.0,,,No Tiktok
